60 - 65,30 - 39,50 - 59,> 65,40 - 49,kecamatan,20 - 29,< 20,jumlah
14,604,295,1,363,Kec. Gantarang,190,2,"1,469"
38,441,410,5,363,Kec. Ujung Bulu,192,2,"1,451"
12,207,165,0,150,Kec. Bontobahari,137,1,672
12,216,225,0,169,Kec. Bontotiro,109,0,731
9,280,208,1,261,Kec. Herlang,120,0,879
11,387,142,7,249,Kec. Kajang,223,1,"1,020"
16,419,194,0,291,Kec. Bulukumpa,232,0,"1,152"
12,306,158,1,231,Kec. Rilau Ale,121,0,829
7,316,77,0,134,Kec. Kindang,116,0,650
10,363,163,0,244,Kec. Ujung Loe,137,0,917
