"kecamatan","kode_wilayah","bersekolah","","","","tidak_bersekolah","","","","total"
"","","7-12_tahun","13-15_tahun","16-18_tahun","total","7-12_tahun","13-15_tahun","16-18_tahun","total",""
"GANTARANG","7302010.0","2268.0","854.0","343.0","3465.0","569.0","411.0","556.0","1536.0","5001.0"
"UJUNG BULU","7302020.0","1546.0","555.0","239.0","2340.0","359.0","247.0","395.0","1001.0","3341.0"
"UJUNG LOE","7302021.0","1981.0","920.0","339.0","3240.0","314.0","247.0","457.0","1018.0","4258.0"
"BONTO BAHARI","7302030.0","759.0","279.0","103.0","1141.0","146.0","126.0","185.0","457.0","1598.0"
"BONTOTIRO","7302040.0","1266.0","500.0","276.0","2042.0","141.0","131.0","220.0","492.0","2534.0"
"HERO LANGE-LANGE","7302050.0","991.0","482.0","250.0","1723.0","113.0","82.0","138.0","333.0","2056.0"
"KAJANG","7302060.0","2368.0","1028.0","613.0","4009.0","600.0","395.0","718.0","1713.0","5722.0"
"BULUKUMPA","7302070.0","2086.0","886.0","380.0","3352.0","256.0","237.0","436.0","929.0","4281.0"
"RILAU ALE","7302080.0","1457.0","621.0","284.0","2362.0","235.0","234.0","373.0","842.0","3204.0"
"KINDANG","7302090.0","1207.0","468.0","153.0","1828.0","261.0","193.0","318.0","772.0","2600.0"
"","TOTAL :","15929.0","6593.0","2980.0","25502.0","2994.0","2303.0","3796.0","9093.0","34595.0"
